Time,C6_avg,psi6,V,S-2,S-1,S0
789.9999,3.1,0.09522,2.0,0.0,0.0,0.0
799.9999,3.27333,0.07162,2.0,0.0,0.0,0.0
809.9999,3.08,0.06096,2.0,0.0,0.0,0.0
829.9999,3.08667,0.14368,2.0,0.0,0.0,0.0
839.9999,2.86,0.05124,2.0,0.0,0.0,0.0
849.9999,3.13333,0.18199,2.0,0.0,0.0,0.0
859.9999,2.97333,0.13318,2.0,0.0,0.0,0.0
869.9999,3.16667,0.20165,2.0,0.0,0.0,0.0
879.9999,3.04,0.1364,2.0,0.0,0.0,0.0
889.9999,3.04,0.15937,2.0,0.0,0.0,0.0
109.9999,2.36,0.02147,2.0,0.0,0.0,0.0
169.9999,2.87333,0.10745,2.0,0.0,0.0,0.0
179.9999,2.66,0.03476,2.0,0.0,0.0,0.0
189.9999,2.6066700000000003,0.10474,2.0,0.0,0.0,0.0
199.9999,2.66,0.08539,2.0,0.0,0.0,0.0
209.9999,2.80667,0.09014,2.0,0.0,0.0,0.0
219.9999,2.78,0.07342,2.0,0.0,0.0,0.0
229.9999,2.99333,0.10372,2.0,0.0,0.0,0.0
249.9999,3.04667,0.09543,2.0,0.0,0.0,0.0
269.9999,3.04,0.09098,2.0,0.0,0.0,0.0
309.9999,3.14667,0.21949,2.0,0.0,0.0,0.0
339.9999,3.05333,0.24557,2.0,0.0,0.0,0.0
349.9999,3.1266700000000003,0.14859,2.0,0.0,0.0,0.0
359.9999,3.06667,0.18312,2.0,0.0,0.0,0.0
379.9999,3.1,0.14639000000000002,2.0,0.0,0.0,0.0
389.9999,2.98667,0.15780999999999998,2.0,0.0,0.0,0.0
399.9999,3.05333,0.15322,2.0,0.0,0.0,0.0
419.9999,2.96,0.04375,2.0,0.0,0.0,0.0
429.9999,3.16,0.07134,2.0,0.0,0.0,0.0
439.9999,3.03333,0.05349,2.0,0.0,0.0,0.0
449.9999,2.92667,0.02492,2.0,0.0,0.0,0.0
459.9999,3.20667,0.0782,2.0,0.0,0.0,0.0
469.9999,3.22667,0.1149,2.0,0.0,0.0,0.0
479.9999,3.29333,0.13112,2.0,0.0,0.0,0.0
489.9999,3.18,0.05334,2.0,0.0,0.0,0.0
499.9999,3.16667,0.07537999999999999,2.0,0.0,0.0,0.0
509.9999,3.07333,0.05841,2.0,0.0,0.0,0.0
519.9999,2.82667,0.04691,2.0,0.0,0.0,0.0
529.9999,3.02667,0.02276,2.0,0.0,0.0,0.0
539.9999,2.96667,0.0538,2.0,0.0,0.0,0.0
569.9999,3.04667,0.10135,2.0,0.0,0.0,0.0
579.9999,2.88,0.11844,2.0,0.0,0.0,0.0
589.9999,3.20667,0.07553,2.0,0.0,0.0,0.0
599.9999,3.16667,0.02526,2.0,0.0,0.0,0.0
609.9999,3.24667,0.12128,2.0,0.0,0.0,0.0
649.9999,3.1266700000000003,0.10984,2.0,0.0,0.0,0.0
689.9999,3.16,0.10793,2.0,0.0,0.0,0.0
699.9999,3.17333,0.10194,2.0,0.0,0.0,0.0
729.9999,3.23333,0.08544,2.0,0.0,0.0,0.0
759.9999,3.04667,0.07286000000000001,2.0,0.0,0.0,0.0
769.9999,3.22667,0.17326,2.0,0.0,0.0,0.0
789.9999,3.1,0.09522,2.0,0.0,0.0,0.0
799.9999,3.27333,0.07162,2.0,0.0,0.0,0.0
809.9999,3.08,0.06096,2.0,0.0,0.0,0.0
819.9999,3.0,0.10185,2.0,0.0,0.0,0.0
839.9999,2.86,0.05124,2.0,0.0,0.0,0.0
869.9999,3.16667,0.20165,2.0,0.0,0.0,0.0
879.9999,3.04,0.1364,2.0,0.0,0.0,0.0
99.9999,2.11333,0.05619,2.0,0.0,0.0,0.0
109.9999,2.30667,0.02932,2.0,0.0,0.0,0.0
119.9999,2.30667,0.11702,2.0,0.0,0.0,0.0
139.9999,2.33333,0.057829999999999986,2.0,0.0,0.0,0.0
159.9999,2.4,0.0647,2.0,0.0,0.0,0.0
179.9999,2.44,0.08009,2.0,0.0,0.0,0.0
189.9999,2.36667,0.03049,2.0,0.0,0.0,0.0
199.9999,2.36667,0.03097,2.0,0.0,0.0,0.0
209.9999,2.58,0.04124,2.0,0.0,0.0,0.0
259.9999,2.52667,0.04221,2.0,0.0,0.0,0.0
279.9999,2.49333,0.03209,2.0,0.0,0.0,0.0
289.9999,2.46667,0.01231,2.0,0.0,0.0,0.0
319.9999,2.70667,0.02899,2.0,0.0,0.0,0.0
329.9999,2.76,0.06952,2.0,0.0,0.0,0.0
349.9999,2.54,0.13514,2.0,0.0,0.0,0.0
359.9999,2.70667,0.10067,2.0,0.0,0.0,0.0
369.9999,2.64,0.05189,2.0,0.0,0.0,0.0
409.9999,2.7,0.07335,2.0,0.0,0.0,0.0
419.9999,2.78,0.08847999999999999,2.0,0.0,0.0,0.0
429.9999,2.67333,0.05593,2.0,0.0,0.0,0.0
439.9999,2.65333,0.00509,2.0,0.0,0.0,0.0
469.9999,2.64,0.08626,2.0,0.0,0.0,0.0
499.9999,2.54,0.03832,2.0,0.0,0.0,0.0
529.9999,2.76667,0.10826,2.0,0.0,0.0,0.0
569.9999,2.71333,0.1768,2.0,0.0,0.0,0.0
589.9999,2.56667,0.08284,2.0,0.0,0.0,0.0
599.9999,2.50667,0.06266000000000001,2.0,0.0,0.0,0.0
619.9999,2.54,0.03124,2.0,0.0,0.0,0.0
629.9999,2.72,0.09427,2.0,0.0,0.0,0.0
649.9999,2.76667,0.06124,2.0,0.0,0.0,0.0
679.9999,2.78,0.04877,2.0,0.0,0.0,0.0
689.9999,2.68,0.10415,2.0,0.0,0.0,0.0
759.9999,2.76,0.10264,2.0,0.0,0.0,0.0
769.9999,2.56,0.04231,2.0,0.0,0.0,0.0
779.9999,2.70667,0.10229,2.0,0.0,0.0,0.0
789.9999,2.68,0.06078,2.0,0.0,0.0,0.0
819.9999,2.83333,0.13351,2.0,0.0,0.0,0.0
829.9999,2.68667,0.12774000000000002,2.0,0.0,0.0,0.0
839.9999,2.66,0.08769,2.0,0.0,0.0,0.0
849.9999,2.76,0.09793,2.0,0.0,0.0,0.0
859.9999,2.64,0.11663,2.0,0.0,0.0,0.0
869.9999,2.89333,0.10666,2.0,0.0,0.0,0.0
889.9999,2.76667,0.03357,2.0,0.0,0.0,0.0
899.9999,2.85333,0.035660000000000004,2.0,0.0,0.0,0.0
109.9999,2.15333,0.06907,2.0,0.0,0.0,0.0
119.9999,2.25333,0.11744,2.0,0.0,0.0,0.0
149.9999,2.36,0.08463,2.0,0.0,0.0,0.0
159.9999,2.25333,0.07141,2.0,0.0,0.0,0.0
189.9999,2.30667,0.127,2.0,0.0,0.0,0.0
199.9999,2.32667,0.0518,2.0,0.0,0.0,0.0
219.9999,2.36667,0.07704,2.0,0.0,0.0,0.0
229.9999,2.38667,0.10627,2.0,0.0,0.0,0.0
