#step,cat_index,cat,V 
666,2,Crystal,5
667,2,Crystal,5
668,2,Crystal,5
669,2,Crystal,5
670,2,Crystal,5
671,2,Crystal,5
672,2,Crystal,5
673,2,Crystal,5
674,2,Crystal,5
675,2,Crystal,5
676,2,Crystal,5
677,2,Crystal,5
678,2,Crystal,5
679,2,Crystal,5
680,2,Crystal,5
681,2,Crystal,5
682,2,Crystal,5
683,2,Crystal,5
684,2,Crystal,5
685,2,Crystal,5
686,2,Crystal,5
687,2,Crystal,5
688,2,Crystal,5
689,2,Crystal,5
690,1,Defective,5
691,1,Defective,5
692,2,Crystal,5
693,2,Crystal,5
694,1,Defective,5
695,1,Defective,5
696,2,Crystal,5
697,2,Crystal,5
698,1,Defective,5
699,2,Crystal,5
700,2,Crystal,5
701,1,Defective,5
702,2,Crystal,5
703,2,Crystal,5
704,2,Crystal,5
705,2,Crystal,5
706,1,Defective,5
707,2,Crystal,5
708,1,Defective,5
709,1,Defective,5
710,1,Defective,5
711,2,Crystal,5
712,2,Crystal,5
713,2,Crystal,5
714,1,Defective,5
715,1,Defective,5
716,1,Defective,5
717,1,Defective,5
718,1,Defective,5
719,1,Defective,5
720,2,Crystal,5
721,1,Defective,5
722,1,Defective,5
723,1,Defective,5
724,1,Defective,5
725,2,Crystal,5
726,1,Defective,5
727,1,Defective,5
728,1,Defective,5
729,1,Defective,5
730,1,Defective,5
731,2,Crystal,5
732,1,Defective,5
733,2,Crystal,5
734,2,Crystal,5
735,2,Crystal,5
736,2,Crystal,5
737,2,Crystal,5
738,2,Crystal,5
739,2,Crystal,5
740,2,Crystal,5
741,2,Crystal,5
742,1,Defective,5
743,1,Defective,5
744,2,Crystal,5
745,2,Crystal,5
746,2,Crystal,5
747,2,Crystal,5
748,2,Crystal,5
749,2,Crystal,5
750,2,Crystal,5
751,2,Crystal,5
752,2,Crystal,5
753,2,Crystal,5
754,2,Crystal,5
755,2,Crystal,5
756,2,Crystal,5
757,2,Crystal,5
758,2,Crystal,5
759,2,Crystal,5
760,2,Crystal,5
761,2,Crystal,5
762,2,Crystal,5
763,2,Crystal,5
764,2,Crystal,5
765,2,Crystal,5
766,2,Crystal,5
767,2,Crystal,5
768,2,Crystal,5
769,2,Crystal,5
770,2,Crystal,5
771,2,Crystal,5
772,2,Crystal,5
773,2,Crystal,5
774,2,Crystal,5
775,2,Crystal,5
776,2,Crystal,5
777,2,Crystal,5
778,2,Crystal,5
779,2,Crystal,5
780,2,Crystal,5
781,2,Crystal,5
782,2,Crystal,5
