Time,C6_avg,psi6,V,S_cnn,S_param,Path,Step
529.9999,4.44,0.12928,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,53
539.9999,4.36,0.1483,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,54
639.9999,5.2733300000000005,0.22011,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,64
689.9999,4.38667,0.1963,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,69
699.9999,4.3933300000000015,0.18303,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,70
869.9999,4.59333,0.14835,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,87
889.9999,4.72667,0.17285,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,89
899.9999,4.55333,0.13422,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,90
949.9999,4.38667,0.14951,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,95
959.9999,4.22,0.08449,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,96
69.9999,4.26,0.09107,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,7
79.9999,4.08,0.07246,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,8
339.9999,5.20667,0.2144,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,34
349.9999,5.2733300000000005,0.24759,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,35
379.9999,4.46667,0.17349,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,38
389.9999,4.15333,0.16341,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,39
399.9999,4.08,0.20575,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,40
489.9999,5.2733300000000005,0.27614,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,49
549.9999,4.3133300000000006,0.23324,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,55
