,S-1,S-2,S-3,S-4,V
257,2.0,2.0,2.0,2.0,4.0
258,2.0,2.0,2.0,2.0,4.0
259,2.0,2.0,2.0,2.0,4.0
260,2.0,2.0,2.0,2.0,4.0
261,2.0,2.0,2.0,2.0,4.0
262,2.0,2.0,2.0,2.0,4.0
263,2.0,2.0,2.0,2.0,4.0
264,2.0,2.0,2.0,2.0,4.0
265,2.0,2.0,2.0,2.0,4.0
266,2.0,2.0,2.0,2.0,4.0
267,2.0,2.0,2.0,2.0,4.0
268,2.0,2.0,2.0,2.0,4.0
269,2.0,2.0,2.0,2.0,4.0
270,2.0,2.0,2.0,2.0,4.0
271,2.0,2.0,2.0,2.0,4.0
272,2.0,2.0,2.0,2.0,4.0
273,2.0,2.0,2.0,2.0,4.0
274,2.0,2.0,2.0,2.0,4.0
275,2.0,2.0,2.0,2.0,4.0
276,2.0,2.0,2.0,2.0,4.0
277,2.0,2.0,2.0,2.0,4.0
278,2.0,2.0,2.0,2.0,4.0
279,2.0,2.0,2.0,2.0,4.0
280,2.0,2.0,2.0,2.0,4.0
281,2.0,2.0,2.0,2.0,4.0
282,2.0,2.0,2.0,2.0,4.0
283,2.0,2.0,2.0,2.0,4.0
284,2.0,2.0,2.0,2.0,4.0
285,2.0,2.0,2.0,2.0,4.0
286,2.0,2.0,2.0,2.0,4.0
287,0.0,0.0,0.0,0.0,2.0
288,0.0,0.0,0.0,0.0,2.0
289,0.0,0.0,0.0,0.0,2.0
290,0.0,0.0,0.0,0.0,2.0
291,0.0,0.0,0.0,0.0,2.0
292,0.0,0.0,0.0,0.0,2.0
293,0.0,0.0,0.0,0.0,2.0
294,0.0,0.0,0.0,0.0,2.0
295,0.0,0.0,0.0,0.0,2.0
296,0.0,0.0,0.0,0.0,2.0
297,0.0,0.0,0.0,0.0,2.0
298,0.0,0.0,0.0,0.0,2.0
299,0.0,0.0,0.0,0.0,2.0
300,0.0,0.0,0.0,0.0,2.0
301,0.0,0.0,0.0,0.0,2.0
302,0.0,0.0,0.0,0.0,2.0
303,0.0,0.0,0.0,0.0,2.0
304,0.0,0.0,0.0,0.0,2.0
305,0.0,0.0,0.0,0.0,2.0
306,0.0,0.0,0.0,0.0,2.0
307,0.0,0.0,0.0,0.0,2.0
